mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales
27535.35,94850.81,95247.24,11583.65,82796.98,91874.26,17506.1,80951.06,126712.69,363711.72,103941494.7
416588.81,45136.16,51437.66,7090,60809.35,110345.99,21142.23,156494.62,251938.23,503028.6,98364761.95
1480877.13,18277.13,8872.59,3557.31,53411.44,18500.86,8600.36,55762.92,293888.82,302972.74,54894314.06
200165.66,38284.43,39760.28,2014.37,77073.28,61601.13,26458.5,72825.65,132608.18,689333.62,60948305.59
682308.96,83378.03,58682.36,10126.81,106850.65,106269.31,14655.77,112427.4,189047.83,394051.38,110656088.1
1089033.55,21273.97,69394.22,10907.01,87561.47,307363.43,25783.84,257022.85,352016.27,324989.33,101276096.6
685057.87,31630.99,20181.59,2823.25,77424.79,146448.06,21807.68,190000.6,515940.59,449599.33,133894724.3
1397182.79,33537.81,56407.08,1972.63,54585.4,100435.81,22159.97,105901.41,227941.12,358332.95,107223097.1
310038.63,59782.8,134029.68,6711.52,181921.64,114104.82,29120.69,97785.99,357118.61,652846.69,66027466
605842.94,46051.72,82650.95,6219.26,173960.97,22128.32,33453.52,227013.91,311120.08,711275.6,113532226.3
1003884.52,20072.78,63166.69,3634.65,98608.04,79226.73,14296.37,212804.78,292374.5,741559.76,115884633.7
287489.81,35351.41,41165.43,3472,143582.56,39247.87,29651.49,94820.48,322162.74,614044.77,62538333.33
1408679.23,15279.26,38543.59,1675.15,64705.36,29543.12,24837.91,215549.45,272728.15,710020.66,104560110.5
419971.02,96647.72,66534.32,5316.39,172294.82,100603.78,21709.21,428902.43,499330.01,821685.68,87707645.19
974373.19,75091.86,43385.67,5648.4,176407.68,328126.91,87157.59,285339.89,304305.37,1074628.03,90804140.6
61446.45,168458.94,160905.89,9110.77,122408.8,410842.55,55893.26,411024.47,396876.12,2242504.74,171018479
1005581.59,69843.38,39602.32,9360.42,127204.39,318413.54,37435.1,427677.86,383876.63,2459696.73,240828463.3
1152000.73,37510.87,22799.15,3589.75,36948.43,437867.86,63758.47,202121.66,695750.18,3006686.76,212402431.7
588562.79,99921.33,68703.26,13064.83,212002.93,862885.39,48231.73,277739.91,674551.41,1665721.67,155429089.4
1282745.52,117284.85,51713.55,9914.1,245375.33,530392,91087.88,233469.52,588936.27,1247222.06,342807746.4
371808.68,148883.61,51021.03,10360.44,158288.11,157746.5,10785.78,151297.61,320961.09,750086.99,183923434.6
31080.19,21758.67,44215.36,5279.96,62931.6,5108.33,0,108724.47,164951.67,478471.37,104469430.6
126828.61,54370.24,50820.1,2922.02,80197.16,60860.28,6294.12,121223.93,93380.64,506705.63,96557190.21
3175.52,31627.44,57041.81,3969.06,104636.75,3912.72,2975,130223.87,185945.89,269420.77,49937851.34
1056324.03,18335.9,4433.42,2610.48,85932.46,0,2975,127741.8,98918,415578.7,45316510.85
680522.7,19661.45,2277.46,5671.07,110365.11,43605.44,3855.62,68092.25,88079.77,780468.13,51646819.25
392239.96,48695.2,53365.1,4118.32,170795.53,60290.77,30429.53,180952.39,126221.1,700469.02,67773826.54
